sample	pclass	type	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22	chrX
TCGA-DK-A3WY-01A-11D-A22Y-01	BLCA_	a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-DK-A3WY-01A-11D-A22Y-01	BLCA_	d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-GC-A3OO-01A-11D-A22Y-01	BLCA_	a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-GC-A3OO-01A-11D-A22Y-01	BLCA_	d	0	27	0	0	0	0	0	8	0	0	0	0	46	11	0	0	0	0	0	0	0	0	0
TCGA-BT-A20O-01A-21D-A14V-01	BLCA_	a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0
TCGA-BT-A20O-01A-21D-A14V-01	BLCA_	d	0	0	0	8	52	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
TCGA-E7-A3Y1-01A-11D-A22Y-01	BLCA_	a	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-E7-A3Y1-01A-11D-A22Y-01	BLCA_	d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
TCGA-GC-A3I6-01A-11D-A20B-01	BLCA_	a	0	0	0	0	0	0	36	0	16	0	0	0	0	0	0	0	0	0	0	101	0	0	0
TCGA-GC-A3I6-01A-11D-A20B-01	BLCA_	d	146	317	89	0	0	0	91	0	0	0	7	0	0	0	0	0	8	0	0	0	0	0	0
TCGA-DK-A1AF-01A-11D-A13V-01	BLCA_	a	0	0	0	0	0	0	0	0	0	0	1267	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-DK-A1AF-01A-11D-A13V-01	BLCA_	d	0	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0	0	0	0	0
TCGA-CU-A0YO-01A-11D-A10T-01	BLCA_	a	0	0	0	0	0	0	0	0	0	169	0	1626	0	0	0	0	0	0	0	0	0	0	0
TCGA-CU-A0YO-01A-11D-A10T-01	BLCA_	d	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-DK-A3WX-01A-22D-A22Y-01	BLCA_	a	806	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-DK-A3WX-01A-22D-A22Y-01	BLCA_	d	0	0	0	204	0	0	0	0	736	225	0	0	0	0	0	6	0	0	0	0	0	0	0
TCGA-CF-A3MH-01A-11D-A20B-01	BLCA_	a	0	0	44	212	0	0	0	0	599	0	0	0	0	0	0	0	0	687	0	0	0	0	0
TCGA-CF-A3MH-01A-11D-A20B-01	BLCA_	d	71	0	0	12	0	368	0	0	116	173	0	0	0	80	0	0	0	0	0	0	0	0	15
