rank	name	cytoband	q value	residual q value	wide peak boundaries	gene_count	at_telomere	large_genes	freq_mutated_genes	chromatin_genes	known TSG
1	CDKN2A	9p21.3	0	0	chr9:21865498-22448737	4	no		CDKN2A		"CDKN2A,CDKN2B"
2	STK11	19p13.3	1.46E-238	1.46E-238	chr19:1103715-1272039	7	no		STK11		
3	PDE4D	5q11.2	3.18E-156	2.02E-143	chr5:58260298-59787985	3	no	PDE4D			
4	PARK2	6q26	5.85E-137	5.85E-137	chr6:161693099-163153207	1	no	PARK2			
5	LRP1B	2q22.1	4.25E-107	4.25E-107	chr2:139655617-143637838	1	no	LRP1B			
6	CSMD1	8p23.2	2.39E-96	2.39E-96	chr8:2079140-6262191	1	no	CSMD1			
7	1p36.23	1p36.23	1.67E-178	1.23E-93	chr1:7829287-8925111	8	no				
8	ARID1A	1p36.11	1.93E-173	5.74E-87	chr1:26900639-27155421	2	no		ARID1A		ARID1A
9	PTEN	10q23.31	1.55E-86	1.12E-79	chr10:89615138-90034038	2	no		PTEN		PTEN
10	WWOX	16q23.1	8.14E-76	8.14E-76	chr16:78129058-79627770	1	no	WWOX			
11	RB1	13q14.2	3.01E-91	3.88E-75	chr13:48833767-49064807	2	no		RB1		RB1
12	FAM190A	4q22.1	9.16E-75	9.26E-75	chr4:90844993-93240505	1	no	FAM190A			
13	2q37.3	2q37.3	8.65E-100	1.77E-70	chr2:241544527-243199373	29	yes			ING5	
14	22q13.32	22q13.32	8.20E-65	8.20E-65	chr22:48026910-51304566	45	yes			"BRD1,HDAC10"	
15	11p15.5	11p15.5	1.02E-62	1.02E-62	chr11:1-709860	34	yes		HRAS	"SIRT3,PHRF1"	
16	LINC00290	4q34.3	3.63E-136	1.21E-55	chr4:178911874-183060693	1	no				
17	FHIT	3p14.2	6.98E-65	3.01E-55	chr3:59034763-61547330	1	no	FHIT			
18	RBFOX1	16p13.3	9.88E-46	1.00E-45	chr16:5144019-7771745	1	no	RBFOX1			
19	PTPRD	9p24.1	2.85E-40	3.24E-38	chr9:8310705-12693402	1	no	PTPRD			
20	18q23	18q23	1.92E-43	1.69E-37	chr18:74979706-78077248	12	yes				
21	FAT1	4q35.2	2.65E-117	6.81E-36	chr4:187475875-188227950	1	no		FAT1		FAT1
22	MPHOSPH8	13q12.11	1.59E-50	2.57E-31	chr13:1-20535070	10	yes			MPHOSPH8	
23	15q15.1	15q15.1	7.94E-54	2.71E-29	chr15:41795901-42068054	4	no				
24	11q25	11q25	2.77E-40	4.93E-26	chr11:133400280-135006516	14	yes				
25	1p13.2	1p13.2	1.04E-28	1.69E-25	chr1:110048528-117687124	100	no		NRAS	TRIM33	
26	NF1	17q11.2	1.40E-27	6.59E-23	chr17:29326736-29722618	5	no		NF1		NF1
27	MACROD2	20p12.1	9.00E-19	9.00E-19	chr20:14302876-16036135	3	no	MACROD2			
28	7p22.3	7p22.3	1.04E-17	1.04E-17	chr7:1-1496620	18	yes				
29	6p25.3	6p25.3	3.01E-17	3.01E-17	chr6:1608837-2252425	2	no				
30	21q11.2	21q11.2	2.34E-14	2.34E-14	chr21:1-15482604	14	yes				
31	9p13.1	9p13.1	1.76E-16	9.75E-14	chr9:38619152-71152237	48	no				
32	ZNF132	19q13.43	1.06E-24	3.77E-13	chr19:58661582-59128983	24	yes		ZNF132	TRIM28	
33	5q15	5q15	3.32E-37	8.15E-13	chr5:73236070-114508587	156	no		"APC,RASA1"	CHD1	APC
34	MLL3	7q36.1	5.74E-13	9.26E-13	chr7:151817415-152136074	1	no		MLL3	MLL3	MLL3
35	19q13.32	19q13.32	1.12E-23	2.38E-12	chr19:47332686-47763284	10	no				
36	15q12	15q12	6.05E-52	3.40E-11	chr15:1-32929863	155	yes				
37	12q24.33	12q24.33	1.40E-14	1.24E-10	chr12:131692956-133851895	27	yes				
38	10q26.3	10q26.3	7.21E-15	2.09E-10	chr10:135190263-135534747	14	yes				
39	6q21	6q21	4.61E-10	4.56E-10	chr6:86319089-117076132	141	no		AKD1	"PRDM1,HDAC2,PRDM13"	
40	PPP2R2A	8p21.2	1.01E-09	1.78E-09	chr8:25896447-26250295	1	no				
41	IKZF2	2q34	1.16E-36	3.24E-09	chr2:211542637-214143899	4	no	ERBB4			IKZF2
