rank	name	cytoband	q value	residual q value	wide peak boundaries	gene_count	at_telomere	large_genes	freq_mutated_genes	chromatin_genes	known_oncogene
1	CCND1	11q13.3	1.6888e-315	2.05E-278	chr11:69464719-69502928	2	no		CCND1		CCND1
2	EGFR	7p11.2	1.33E-240	2.30E-240	chr7:55075808-55093954	1	no		EGFR		EGFR
3	MYC	8q24.21	3.00E-261	6.50E-180	chr8:128739772-128762863	1	no				MYC
4	TERC	3q26.2	6.70E-208	5.40E-117	chr3:169389459-169490555	2	no				
5	ERBB2	17q12	9.02E-111	1.59E-107	chr17:37848534-37877201	1	no		ERBB2		ERBB2
6	CCNE1	19q12	6.19E-94	4.77E-90	chr19:30306758-30316875	1	no				CCNE1
7	MCL1	1q21.3	2.48E-107	1.25E-80	chr1:150496857-150678056	6	no				MCL1
8	MDM2	12q15	5.62E-66	2.59E-62	chr12:69183279-69260755	2	no				MDM2
9	INTS4	11q14.1	5.29E-87	1.01E-54	chr11:77610143-77641464	1	no				
10	WHSC1L1	8p11.23	1.23E-120	3.43E-46	chr8:38191804-38260814	2	no			WHSC1L1	
11	CDK4	12q14.1	8.41E-45	5.14E-41	chr12:58135797-58156509	5	no				CDK4
12	KAT6A	8p11.21	3.22E-69	2.97E-39	chr8:41751300-41897859	2	no			KAT6A	
13	SOX2	3q26.33	7.62E-186	1.21E-38	chr3:181151312-181928394	2	no				SOX2
14	PDGFRA	4q12	1.98E-42	1.08E-37	chr4:54924794-55218386	3	no		PDGFRA		CDK4
15	BDH1	3q29	1.71E-127	1.21E-31	chr3:197212101-197335320	1	no				
16	1q44	1q44	1.60E-33	4.48E-31	chr1:242979907-249250621	83	yes			SMYD3	
17	MDM4	1q32.1	4.99E-32	1.98E-29	chr1:204367383-204548517	3	no				MDM4
18	TERT	5p15.33	9.34E-27	9.34E-27	chr5:1287704-1300024	1	no				TERT
19	KDM5A	12p13.33	1.59E-25	1.59E-25	chr12:1-980639	11	yes			KDM5A	
20	MYCL1	1p34.2	3.99E-25	3.99E-25	chr1:40317971-40417342	2	no				MYCL1
21	IGF1R	15q26.3	8.62E-25	8.62E-25	chr15:98667475-100292401	9	no		MEF2A		IGF1R
22	8q24.3	8q24.3	7.23E-114	5.44E-20	chr8:144925436-145219779	15	no				
23	G6PD	Xq28	3.66E-19	3.66E-19	chrX:153760870-153767853	1	no				
24	PHF12	17q11.2	2.11E-19	1.75E-16	chr17:27032828-27327946	21	no			PHF12	
25	20q13.33	20q13.33	1.22E-24	2.96E-16	chr20:62187847-62214354	2	no				
26	19q13.2	19q13.2	1.04E-19	1.66E-15	chr19:39699366-39945515	13	no				
27	BCL2L1	20q11.21	2.85E-15	2.85E-15	chr20:30179028-30320705	4	no				BCL2L1
28	TUBD1	17q23.1	4.81E-25	7.19E-15	chr17:57922443-57946458	1	no				
29	[ZNF703]	8p11.23	3.46E-91	2.44E-14	chr8:37492669-37527108	0	no				
30	1q23.3	1q23.3	2.64E-47	7.73E-13	chr1:160949115-161115281	9	no				
31	8q22.2	8q22.2	3.40E-32	4.22E-11	chr8:101324079-101652657	3	no				
32	BRD4	19p13.12	1.59E-12	5.04E-10	chr19:15310246-15428182	3	no			BRD4	
33	KRAS	12p12.1	9.47E-10	9.47E-10	chr12:24880663-25722878	7	no		KRAS		KRAS
34	NKX2-1	14q13.2	6.40E-14	1.33E-09	chr14:35587755-37523513	14	no				NKX2-1
35	NFE2L2	2q31.2	5.48E-09	5.48E-09	chr2:178072322-178171101	5	no		NFE2L2		
36	ZNF217	20q13.2	4.79E-16	5.83E-08	chr20:52148496-52442225	1	no				ZNF217
37	13q34	13q34	6.28E-08	6.28E-08	chr13:108818892-115169878	45	yes			ING1	
38	KAT6B	10q22.2	1.41E-07	1.41E-07	chr10:76497097-77194071	9	no			KAT6B	
39	NSD1	5q35.3	1.75E-06	1.75E-06	chr5:176337344-177040112	22	no			NSD1	
40	FGFR3	4p16.3	2.14E-06	2.14E-06	chr4:1778797-1817427	2	no		FGFR3		
41	RMRP	9p13.3	2.55E-06	2.55E-06	chr9:35652385-35739486	8	no				
42	4q13.3	4q13.3	1.47E-10	2.68E-06	chr4:73530210-74658151	7	no				
43	7q36.3	7q36.3	3.19E-06	3.19E-06	chr7:153768037-159138663	30	yes	"DPP6,PTPRN2"			
44	18q11.2	18q11.2	3.83E-06	3.83E-06	chr18:23857484-24119078	2	no				
45	SOX17	8q11.23	3.53E-12	2.02E-05	chr8:55069781-55384342	1	no				
46	11q22.2	11q22.2	2.98E-06	0.00015337	chr11:102295593-102512085	3	no				
47	CBX8	17q25.3	1.25E-21	0.00023029	chr17:77770110-77795534	1	no			CBX8	
48	AKT1	14q32.33	0.00028451	0.00028451	chr14:105182581-105333748	7	no		AKT1		AKT1
49	CDK6	7q21.2	0.00041306	0.00069831	chr7:92196092-92530348	3	no				CDK6
50	6p21.1	6p21.1	0.000125	0.0010459	chr6:41519930-44297771	70	no		AARS2		
51	EHF	11p13	0.0010564	0.0011002	chr11:34574296-34857324	1	no				
52	6q21	6q21	0.00092534	0.0011806	chr6:107098934-107359899	4	no				
53	19q13.42	19q13.42	0.0013319	0.0013319	chr19:55524376-59128983	138	yes		ZNF132	"TRIM28,SUV420H2"	
54	17q21.33	17q21.33	3.60E-05	0.0025775	chr17:47346425-47509605	2	no				
55	BPTF	17q24.2	2.10E-20	0.0028375	chr17:65678858-66288612	11	no			BPTF	
56	E2F3	6p22.3	7.50E-08	0.0033658	chr6:19610794-22191922	7	no				E2F3
57	19p13.2	19p13.2	3.82E-05	0.0038041	chr19:10260457-10467501	12	no				
58	17q25.1	17q25.1	1.74E-22	0.012337	chr17:73568926-73594884	2	no				
59	KDM2A	11q13.2	8.15E-44	0.012445	chr11:67025375-67059633	3	no			KDM2A	
60	8q21.13	8q21.13	2.45E-06	0.020548	chr8:80432552-81861219	6	no				
61	2p15	2p15	0.018031	0.021056	chr2:59143237-63355557	25	no				
62	14q11.2	14q11.2	1.11E-05	0.027803	chr14:1-21645085	57	yes				
63	NEDD9	6p24.2	5.79E-06	0.082606	chr6:11180426-11620845	2	no				NEDD9
64	5p13.1	5p13.1	0.094657	0.094657	chr5:35459650-50133375	61	no				
65	LINC00536	8q23.3	2.88E-78	0.095294	chr8:116891361-117360815	1	no				
66	10p15.1	10p15.1	0.10391	0.10391	chr10:4190059-6130004	21	no				
67	22q11.21	22q11.21	0.13213	0.13213	chr22:18613558-23816427	105	no				
68	PHF3	6q12	0.032545	0.17851	chr6:63883156-64483307	4	no	EYS		PHF3	
69	PAX8	2q13	0.17314	0.19717	chr2:113990138-114122826	2	no				PAX8
70	9p24.2	9p24.2	0.20405	0.20405	chr9:1-7379570	45	yes		JAK2	"SMARCA2,KDM4C,UHRF2,KIAA2026"	
